date,year,month,min_temperature,max_temperature
1997/01,1997,1,10,26
1997/02,1997,2,11,26
1997/03,1997,3,14,28
1997/04,1997,4,19,29
1997/05,1997,5,21,32
1997/06,1997,6,23,32
1997/07,1997,7,23,35
1997/08,1997,8,25,37
1997/09,1997,9,20,33
1997/10,1997,10,19,32
1997/11,1997,11,16,31
1997/12,1997,12,12,27
1998/01,1998,1,9,27
1998/02,1998,2,9,27
1998/03,1998,3,15,29
1998/04,1998,4,19,33
1998/05,1998,5,21,33
1998/06,1998,6,22,33
1998/07,1998,7,24,34
1998/08,1998,8,25,35
1998/09,1998,9,24,34
1998/10,1998,10,21,33
1998/11,1998,11,18,30
1998/12,1998,12,14,28
1999/01,1999,1,9,26
1999/02,1999,2,12,28
1999/03,1999,3,12,31
1999/04,1999,4,18,32
1999/05,1999,5,18,32
1999/06,1999,6,25,35
1999/07,1999,7,26,35
1999/08,1999,8,24,36
1999/09,1999,9,23,34
1999/10,1999,10,20,33
1999/11,1999,11,12,29
1999/12,1999,12,5,24
2000/01,2000,1,7,25
2000/02,2000,2,8,25
2000/03,2000,3,19,28
2000/04,2000,4,19,29
2000/05,2000,5,22,33
2000/06,2000,6,22,34
2000/07,2000,7,25,35
2000/08,2000,8,25,35
2000/09,2000,9,24,33
2000/10,2000,10,19,33
2000/11,2000,11,13,28
2000/12,2000,12,11,26
2001/01,2001,1,10,25
2001/02,2001,2,10,27
2001/03,2001,3,14,29
2001/04,2001,4,15,33
2001/05,2001,5,23,33
2001/06,2001,6,24,35
2001/07,2001,7,24,34
2001/08,2001,8,25,35
2001/09,2001,9,25,34
2001/10,2001,10,21,33
2001/11,2001,11,13,30
2001/12,2001,12,8,29
2002/01,2002,1,8,26
2002/02,2002,2,9,26
2002/03,2002,3,14,28
2002/04,2002,4,17,33
2002/05,2002,5,23,34
2002/06,2002,6,24,35
2002/07,2002,7,24,35
2002/08,2002,8,24,35
2002/09,2002,9,23,34
2002/10,2002,10,18,31
2002/11,2002,11,15,29
2002/12,2002,12,6,29
2003/01,2003,1,7,25
2003/02,2003,2,12,27
2003/03,2003,3,10,28
2003/04,2003,4,19,32
2003/05,2003,5,22,33
2003/06,2003,6,24,34
2003/07,2003,7,27,35
2003/08,2003,8,25,35
2003/09,2003,9,23,34
2003/10,2003,10,20,32
2003/11,2003,11,13,33
2003/12,2003,12,10,27
2004/01,2004,1,7,24
2004/02,2004,2,7,26
2004/03,2004,3,13,27
2004/04,2004,4,18,32
2004/05,2004,5,19,33
2004/06,2004,6,25,36
2004/07,2004,7,24,37
2004/08,2004,8,25,36
2004/09,2004,9,24,34
2004/10,2004,10,20,32
2004/11,2004,11,16,29
2004/12,2004,12,7,27
2005/01,2005,1,5,24
2005/02,2005,2,8,26
2005/03,2005,3,9,28
2005/04,2005,4,14,30
2005/05,2005,5,14,32
2005/06,2005,6,19,34
2005/07,2005,7,25,37
2005/08,2005,8,24,34
2005/09,2005,9,24,35
2005/10,2005,10,20,34
2005/11,2005,11,15,31
2005/12,2005,12,10,26
2006/01,2006,1,8,26
2006/02,2006,2,10,26
2006/03,2006,3,9,28
2006/04,2006,4,15,33
2006/05,2006,5,20,33
2006/06,2006,6,23,35
2006/07,2006,7,25,37
2006/08,2006,8,25,34
2006/09,2006,9,20,34
2006/10,2006,10,23,32
2006/11,2006,11,18,31
2006/12,2006,12,12,29
